sex,FL,CL
F,15.6,31.2
F,13.4,28.4
M,19.8,42.4
M,13.2,27.1
F,18.0,34.7
M,17.4,36.1
F,16.1,31.6
F,19.1,37.8
F,14.7,30.1
M,19.4,39.1
M,21.0,42.9
F,14.0,28.8
M,17.1,36.4
M,14.2,27.8
M,17.1,36.7
M,11.1,23.8
F,11.6,24.6
M,17.9,39.7
F,19.9,40.1
F,17.5,34.5
F,9.1,19.2
F,15.6,32.8
F,15.6,31.6
F,14.7,29.6
F,22.5,43.0
F,21.9,42.6
F,11.9,26.0
F,15.6,31.0
F,11.5,24.7
M,15.7,31.7
F,11.4,21.7
M,12.5,23.2
M,13.1,28.3
M,22.1,44.6
F,12.8,27.9
F,10.3,21.3
M,11.4,22.7
F,17.4,38.2
M,23.0,47.2
M,14.0,29.2
F,18.6,34.7
F,17.5,34.5
M,21.6,43.4
M,21.3,47.1
F,11.7,24.9
F,13.9,30.0
M,13.4,26.6
F,15.5,33.4
M,21.6,45.7
M,13.3,27.8
F,10.1,20.9
M,13.9,29.2
M,16.1,34.9
F,20.1,39.8
F,16.7,32.3
F,18.4,35.6
M,8.8,18.1
F,15.0,32.8
M,11.8,25.2
M,18.8,39.2
F,10.7,21.4
F,12.0,25.4
M,16.8,36.2
M,20.6,42.8
M,18.8,42.1
M,15.2,32.3
M,14.2,29.2
F,20.5,40.0
M,18.0,39.2
F,20.6,41.5
F,9.8,20.4
F,17.5,38.6
F,17.1,33.1
M,14.7,29.0
M,18.6,37.8
M,13.1,28.2
F,14.0,27.0
M,16.2,32.3
F,18.9,36.3
F,11.0,22.5
M,17.9,36.9
F,13.2,27.9
F,15.0,31.7
F,15.1,31.9
M,16.2,36.0
F,20.0,40.4
F,14.9,30.1
F,15.6,33.9
M,17.5,34.4
F,14.9,30.0
F,18.5,37.0
F,11.6,23.7
F,15.8,34.5
M,19.7,41.9
M,20.1,40.6
M,17.1,35.0
F,13.1,27.6
M,14.3,31.3
F,18.3,35.1
F,13.7,28.6
