sp,sex,FL,RW,CL,CW,BD,ratio
B,M,8.1,6.7,16.1,19.0,7.0,0.5031055900621118
B,M,8.8,7.7,18.1,20.8,7.4,0.4861878453038674
B,M,9.2,7.8,19.0,22.4,7.7,0.4842105263157894
B,M,9.6,7.9,20.1,23.1,8.2,0.4776119402985074
B,M,9.8,8.0,20.3,23.0,8.2,0.4827586206896552
B,M,10.8,9.0,23.0,26.5,9.8,0.46956521739130436
B,M,11.1,9.9,23.8,27.1,9.8,0.4663865546218487
B,M,11.6,9.1,24.5,28.4,10.4,0.473469387755102
B,M,11.8,9.6,24.2,27.8,9.7,0.487603305785124
B,M,11.8,10.5,25.2,29.3,10.3,0.4682539682539683
B,M,12.2,10.8,27.3,31.6,10.9,0.44688644688644685
B,M,12.3,11.0,26.8,31.5,11.4,0.458955223880597
B,M,12.6,10.0,27.7,31.7,11.4,0.4548736462093863
B,M,12.8,10.2,27.2,31.8,10.9,0.4705882352941177
B,M,12.8,10.9,27.4,31.5,11.0,0.4671532846715329
B,M,12.9,11.0,26.8,30.9,11.4,0.48134328358208955
B,M,13.1,10.6,28.2,32.3,11.0,0.4645390070921986
B,M,13.1,10.9,28.3,32.4,11.2,0.46289752650176674
B,M,13.3,11.1,27.8,32.3,11.3,0.4784172661870504
B,M,13.9,11.1,29.2,33.3,12.1,0.476027397260274
B,M,14.3,11.6,31.3,35.5,12.7,0.45686900958466453
B,M,14.6,11.3,31.9,36.4,13.7,0.45768025078369906
B,M,15.0,10.9,31.4,36.4,13.2,0.47770700636942676
B,M,15.0,11.5,32.4,37.0,13.4,0.46296296296296297
B,M,15.0,11.9,32.5,37.2,13.6,0.46153846153846156
B,M,15.2,12.1,32.3,36.7,13.6,0.47058823529411764
B,M,15.4,11.8,33.0,37.5,13.6,0.4666666666666667
B,M,15.7,12.6,35.8,40.3,14.5,0.43854748603351956
B,M,15.9,12.7,34.0,38.9,14.2,0.4676470588235294
B,M,16.1,11.6,33.8,39.0,14.4,0.47633136094674566
B,M,16.1,12.8,34.9,40.7,15.7,0.4613180515759313
B,M,16.2,13.3,36.0,41.7,15.4,0.44999999999999996
B,M,16.3,12.7,35.6,40.9,14.9,0.45786516853932585
B,M,16.4,13.0,35.7,41.8,15.2,0.4593837535014005
B,M,16.6,13.5,38.1,43.4,14.9,0.4356955380577428
B,M,16.8,12.8,36.2,41.8,14.9,0.46408839779005523
B,M,16.9,13.2,37.3,42.7,15.6,0.453083109919571
B,M,17.1,12.6,36.4,42.0,15.1,0.46978021978021983
B,M,17.1,12.7,36.7,41.9,15.6,0.4659400544959128
B,M,17.2,13.5,37.6,43.9,16.1,0.45744680851063824
B,M,17.7,13.6,38.7,44.5,16.0,0.45736434108527124
B,M,17.9,14.1,39.7,44.6,16.8,0.45088161209068
B,M,18.0,13.7,39.2,44.4,16.2,0.4591836734693877
B,M,18.8,15.8,42.1,49.0,17.8,0.44655581947743467
B,M,19.3,13.5,41.6,47.4,17.8,0.4639423076923077
B,M,19.3,13.8,40.9,46.5,16.8,0.4718826405867971
B,M,19.7,15.3,41.9,48.5,17.8,0.4701670644391408
B,M,19.8,14.2,43.2,49.7,18.6,0.4583333333333333
B,M,19.8,14.3,42.4,48.9,18.3,0.4669811320754717
B,M,21.3,15.7,47.1,54.6,20.0,0.45222929936305734
B,F,7.2,6.5,14.7,17.1,6.1,0.489795918367347
B,F,9.0,8.5,19.3,22.7,7.7,0.46632124352331605
B,F,9.1,8.1,18.5,21.6,7.7,0.49189189189189186
B,F,9.1,8.2,19.2,22.2,7.7,0.4739583333333333
B,F,9.5,8.2,19.6,22.4,7.8,0.4846938775510204
B,F,9.8,8.9,20.4,23.9,8.8,0.48039215686274517
B,F,10.1,9.3,20.9,24.4,8.4,0.48325358851674644
B,F,10.3,9.5,21.3,24.7,8.9,0.48356807511737093
B,F,10.4,9.7,21.7,25.4,8.3,0.47926267281105994
B,F,10.8,9.5,22.5,26.3,9.1,0.48000000000000004
B,F,11.0,9.8,22.5,25.7,8.2,0.4888888888888889
B,F,11.2,10.0,22.8,26.9,9.4,0.49122807017543857
B,F,11.5,11.0,24.7,29.2,10.1,0.46558704453441296
B,F,11.6,11.0,24.6,28.5,10.4,0.47154471544715443
B,F,11.6,11.4,23.7,27.7,10.0,0.48945147679324896
B,F,11.7,10.6,24.9,28.5,10.4,0.46987951807228917
B,F,11.9,11.4,26.0,30.1,10.9,0.45769230769230773
B,F,12.0,10.7,24.6,28.9,10.5,0.4878048780487805
B,F,12.0,11.1,25.4,29.2,11.0,0.4724409448818898
B,F,12.6,12.2,26.1,31.6,11.2,0.48275862068965514
B,F,12.8,11.7,27.1,31.2,11.9,0.47232472324723246
B,F,12.8,12.2,26.7,31.1,11.1,0.4794007490636705
B,F,12.8,12.2,27.9,31.9,11.5,0.4587813620071685
B,F,13.0,11.4,27.3,31.8,11.3,0.47619047619047616
B,F,13.1,11.5,27.6,32.6,11.1,0.47463768115942023
B,F,13.2,12.2,27.9,32.1,11.5,0.4731182795698925
B,F,13.4,11.8,28.4,32.7,11.7,0.471830985915493
B,F,13.7,12.5,28.6,33.8,11.9,0.47902097902097895
B,F,13.9,13.0,30.0,34.9,13.1,0.4633333333333333
B,F,14.7,12.5,30.1,34.7,12.5,0.4883720930232558
B,F,14.9,13.2,30.1,35.6,12.0,0.49501661129568103
B,F,15.0,13.8,31.7,36.9,14.0,0.47318611987381703
B,F,15.0,14.2,32.8,37.4,14.0,0.4573170731707317
B,F,15.1,13.3,31.8,36.3,13.5,0.4748427672955975
B,F,15.1,13.5,31.9,37.0,13.8,0.47335423197492166
B,F,15.1,13.8,31.7,36.6,13.0,0.47634069400630913
B,F,15.2,14.3,33.9,38.5,14.7,0.44837758112094395
