Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1,1,180917,13,-1,54.9142,-15.3741,-47.6319,22.5918,0.437299,-1.88301,-13,1,52.3848,16.0317,37.7622,32.5755,0.728018,1.16931,-11,1,25.2407,-8.34432,-13.6039,19.555,1.03208,-2.12099,11,-1,25.3475,-1.31938,-6.02052,24.5867,2.09208,-1.78653,118.806892,91.497546,11.49658
6,1,180962,13,-1,32.586,-4.52107,-17.2004,-27.3046,-1.21418,-1.82783,-13,1,16.7844,2.968,-12.0898,-11.2576,-0.812071,-1.33006,11,-1,31.4243,29.2104,10.9634,3.74737,0.119821,0.359054,-11,1,109.092,-21.6522,14.8457,-105.886,-2.10276,2.54057,127.326571,92.678448,9.490273
7,1,180965,11,-1,80.9847,-19.5167,38.9687,68.2573,1.23091,2.03511,-11,1,47.0142,-2.10259,-38.9402,26.2598,0.630723,-1.62474,-11,1,57.1311,20.2269,3.57882,53.3107,1.68206,0.175121,11,-1,42.5575,2.74336,-8.96776,41.5113,2.19327,-1.27392,126.339794,49.863812,33.68359
14,1,181002,11,-1,96.7729,24.2202,-63.2392,-69.1317,-0.896052,-1.20504,-11,1,35.9095,-18.8443,9.32851,-29.1095,-1.12888,2.68193,-11,1,20.3073,-18.9643,-5.21142,5.05801,0.254424,-2.87341,11,-1,17.6519,8.89629,-14.0962,5.80874,0.341787,-1.00781,126.890994,44.785841,33.695901
18,1,181026,-11,1,66.3432,-46.2065,-21.0475,-42.7011,-0.764362,-2.71417,11,-1,33.4341,29.9236,14.8894,0.850408,0.025441,0.46171,11,-1,17.5683,-17.1716,2.48677,-2.75632,-0.158198,2.99777,-11,1,18.4646,8.41446,-14.3759,7.96689,0.461699,-1.04124,127.079525,33.847597,24.768499
19,1,181030,13,-1,124.459,47.3492,-44.023,-106.348,-1.27255,-0.749012,-13,1,18.082,-3.27032,15.5813,8.57178,0.515293,1.77768,-11,1,35.4352,11.7172,-12.5225,-31.0089,-1.35439,-0.81861,11,-1,14.6692,7.74721,12.4045,1.1377,0.077713,1.01252,126.352602,89.475525,35.203482
26,1,181083,13,-1,54.5469,-30.2547,-0.141573,45.3871,1.19485,-3.13691,-13,1,35.507,13.0443,16.0024,-28.8878,-1.13754,0.886888,13,-1,17.8782,9.13712,-11.0949,10.6318,0.684891,-0.881866,-13,1,15.6778,10.6003,3.52942,-10.998,-0.87029,0.321408,122.245376,39.179937,9.404659
32,1,181127,13,-1,50.2287,13.5316,-20.4453,43.8384,1.34462,-0.986138,-13,1,107.918,16.639,16.2366,105.384,2.21647,0.773157,-11,1,23.6753,-16.1623,-11.541,12.8881,0.610344,-2.52149,11,-1,15.4577,-0.793955,14.3554,5.67751,0.38529,1.62605,102.907243,42.603706,29.854219
34,1,181150,13,-1,29.4788,7.13796,-23.2602,-16.6434,-0.639548,-1.27304,-13,1,20.5955,12.365,15.5643,5.38736,0.267807,0.899451,-11,1,83.1589,-18.8554,32.8541,-74.0303,-1.42302,2.09181,11,-1,15.2619,7.66471,-8.92875,9.71882,0.752776,-0.861428,126.522155,69.663717,44.058424
37,1,181182,11,-1,36.7124,20.1313,25.1836,-17.559,-0.520759,0.896432,-11,1,35.1795,13.3331,-18.8806,-26.5207,-0.981858,-0.955935,11,-1,25.185,-1.91736,14.2789,20.6572,1.15749,1.70428,-11,1,24.3769,-2.53694,-13.348,20.2393,1.18899,-1.75862,117.673181,48.500197,43.961947
