Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
10,200519,1402707,-13,1,31.4466,11.6766,25.7012,-13.8558,-0.472995,1.14436,13,-1,12.1788,-8.98151,-2.07806,-7.95774,-0.78127,-2.91422,-11,1,30.4661,7.8523,-21.3049,-20.3132,-0.804864,-1.21768,11,-1,25.1727,-19.0051,-4.34515,-15.9246,-0.745761,-2.91683,80.048623,31.625747,29.360326
15,200519,1402764,13,-1,18.2724,-15.2726,8.94244,-4.54391,-0.254006,2.61189,-13,1,9.3272,-8.91801,1.97764,-1.88241,-0.204642,2.92337,-11,1,51.2695,28.1555,38.6467,18.5005,0.377861,0.941175,11,-1,59.7534,-33.3831,-34.2014,35.8651,0.693488,-2.34409,125.763655,96.557638,4.000821
25,200519,1402861,-13,1,281.146,-195.042,-10.731,202.204,0.906013,-3.08663,13,-1,64.1347,-19.7407,36.3693,48.9983,1.00573,2.06808,-11,1,163.417,-38.5605,-109.494,-115.02,-0.874868,-1.9094,11,-1,18.8391,-0.684809,-7.01751,17.4699,1.63892,-1.66807,426.494909,96.577614,92.661414
27,200519,1402895,-13,1,57.3522,39.6739,25.7706,-32.4209,-0.640582,0.576066,13,-1,152.057,-24.9239,12.1184,-149.51,-2.38706,2.68903,11,-1,233.794,-16.6266,-43.435,-229.121,-2.29791,-1.93638,-11,1,13.6273,12.6116,4.9673,1.40621,0.103559,0.375208,201.913197,95.395083,88.698309
30,200519,1403867,13,-1,69.8944,3.90172,68.7078,12.2161,0.176592,1.51407,-13,1,30.3247,-0.18546,-29.4946,7.04335,0.236583,-1.57708,11,-1,158.559,-91.696,-34.4583,124.681,1.06177,-2.78213,-11,1,60.696,0.669228,-48.9148,35.9291,0.680666,-1.55712,245.229328,90.119121,83.905922
45,200519,1405069,-13,1,56.3381,24.0079,47.0485,19.5966,0.362985,1.09896,13,-1,40.307,1.52705,-32.31,-24.0495,-0.687943,-1.52357,11,-1,72.9212,-1.66774,-22.8352,-69.2335,-1.82595,-1.6437,-11,1,31.4357,-10.8075,11.8799,27.0235,1.29198,2.30896,195.037199,93.984192,91.930354
46,200519,1405076,13,-1,55.2694,-38.8735,34.4256,-18.9321,-0.35697,2.4168,-13,1,37.6443,16.8806,-24.4534,23.1119,0.715248,-0.966598,-11,1,54.8189,16.3687,-3.60004,-52.194,-1.85396,-0.216487,11,-1,18.3269,8.77284,-2.98537,-15.8114,-1.30397,-0.328004,153.234024,89.623393,7.078769
47,200519,1405088,-13,1,8.64301,-5.71766,3.3407,5.55324,0.762523,2.61281,13,-1,16.7003,2.50283,3.58326,16.1178,2.01602,0.961091,11,-1,176.229,14.9617,-25.9961,173.658,2.45661,-1.04856,-11,1,29.5295,-9.80697,21.5308,17.6702,0.690639,1.9982,89.607824,75.389456,10.694533
53,200519,1406331,-13,1,101.333,3.16791,-47.106,-89.6623,-1.39759,-1.50365,13,-1,30.0341,-3.79498,27.7846,10.7542,0.374668,1.70654,11,-1,57.7674,17.8721,52.2558,16.9407,0.302127,1.24126,-11,1,36.4754,-20.0057,-30.4123,-2.30694,-0.063331,-2.15265,216.228245,103.233313,90.475785
60,200519,1406375,-13,1,122.041,-28.119,-12.5757,118.09,2.05357,-2.72104,13,-1,45.3935,11.469,15.8015,40.9796,1.48698,0.942955,11,-1,392.862,57.9591,-3.57403,388.547,2.59946,-0.061587,-11,1,54.0733,-19.3808,-5.6903,50.159,1.641,-2.85601,139.990246,75.591633,49.432235
61,200519,1406391,-13,1,34.7705,12.8601,16.57,27.7313,1.09187,0.910797,13,-1,19.8908,5.69221,14.212,12.6985,0.755501,1.18984,11,-1,534.919,137.376,257.825,448.099,1.21339,1.08124,-11,1,120.317,11.1527,33.293,115.079,1.90274,1.24756,89.867271,73.173023,7.846608
69,200519,1406489,13,-1,166.545,27.1992,-68.5939,149.306,1.45405,-1.19329,-13,1,58.6243,5.60228,30.2356,49.9121,1.26119,1.38759,11,-1,203.962,-47.9704,33.3853,195.41,1.92182,2.53359,-11,1,13.5179,11.4814,0.844922,-7.08486,-0.581991,0.073458,213.817475,96.581537,92.011228
107,200519,1403185,-13,1,197.563,-49.4863,84.0843,-171.791,-1.33123,2.10274,13,-1,19.2235,6.4556,-12.5101,-13.0902,-0.830897,-1.09441,-11,1,81.8292,61.6505,-33.4512,42.1455,0.569569,-0.497139,11,-1,69.6291,-22.3728,-58.0929,31.1911,0.482146,-1.93841,350.355752,87.397367,76.425266
111,200519,1405618,13,-1,7.376,-3.84132,4.74161,-4.14194,-0.635167,2.25168,-13,1,13.1801,-5.13973,2.57537,-11.8598,-1.47145,2.67709,11,-1,194.389,17.3649,-36.2577,-190.187,-2.25824,-1.12415,-11,1,56.8812,-7.79749,25.3025,-50.3433,-1.39866,1.86973,89.817979,71.206295,5.683318
112,200519,1405620,-13,1,54.3734,0.143579,52.9262,-12.4598,-0.233295,1.56808,13,-1,54.9756,35.9181,-23.8673,-34.0961,-0.725339,-0.586496,-11,1,90.7098,-32.5673,-46.2581,70.9072,1.04971,-2.18422,11,-1,22.6272,13.4279,9.47684,-15.5523,-0.842868,0.61458,221.733249,89.788267,87.435048
118,200519,1405694,13,-1,5.50127,2.29221,-4.66558,-1.79747,-0.339239,-1.11413,-13,1,6.94631,1.54846,4.27833,5.24769,0.985768,1.22353,-11,1,72.9573,30.0378,-18.7004,-63.8027,-1.35199,-0.556843,11,-1,49.896,-27.2789,5.41612,-41.4263,-1.18895,2.9456,87.846133,61.933087,11.319785
121,200519,1405721,-13,1,100.203,30.3747,-59.0607,75.0322,0.970223,-1.09578,13,-1,32.2151,-0.74612,31.558,6.42945,0.202295,1.59443,11,-1,63.2919,-53.1415,19.4292,-28.3609,-0.482317,2.79108,-11,1,43.8699,26.7764,23.9027,25.224,0.65492,0.728756,225.837437,96.251242,94.345319
124,200519,1405761,-13,1,13.7782,-5.57132,-10.4177,-7.08941,-0.568905,-2.06189,13,-1,11.1789,0.879951,-9.79337,-5.31713,-0.517363,-1.48119,11,-1,49.8383,19.9599,44.1237,-11.771,-0.240728,1.14598,-11,1,36.5603,-13.1635,-21.2468,-26.6825,-0.928342,-2.12547,99.004093,73.596894,6.199864
125,200519,1405764,-13,1,70.2826,9.00527,33.6231,61.0576,1.32794,1.30911,13,-1,108.344,-21.6193,2.38813,106.139,2.28858,3.03158,11,-1,49.3205,21.6238,23.2011,37.7708,1.01015,0.820572,-11,1,32.0824,9.09555,3.76053,30.5354,1.85036,0.392045,88.658831,49.968357,17.031947
131,200519,1405857,-13,1,188.778,-26.8984,74.8484,-171.205,-1.50986,1.9158,13,-1,15.3947,10.7346,-9.91401,4.84416,0.325722,-0.745676,-11,1,89.4955,59.2416,-66.1131,11.3553,0.127568,-0.840159,11,-1,39.954,-26.2937,-23.587,-18.6713,-0.506636,-2.4104,283.275628,97.636156,87.017108
134,200519,1405893,13,-1,11.7758,-8.01141,8.58378,-0.890779,-0.075793,2.32172,-13,1,10.0807,-8.35086,-1.96624,-5.29204,-0.583215,-2.91035,-11,1,43.5661,29.8432,-5.82031,-31.2012,-0.89976,-0.192612,11,-1,31.8409,-11.704,-1.63458,29.5667,1.64795,-3.00283,96.92894,72.793805,11.312101
140,200519,1410227,-13,1,16.8782,11.6987,-4.5705,-11.2745,-0.807131,-0.37245,13,-1,5.62264,0.316809,5.42383,-1.44381,-0.262711,1.51245,-11,1,51.5551,36.9932,33.9184,11.7883,0.232769,0.742064,11,-1,26.4997,-10.9271,-20.8176,-12.2254,-0.499013,-2.05416,91.068355,72.396742,14.122031
145,200519,1410261,13,-1,143.84,9.31331,-38.8307,138.186,1.95482,-1.3354,-13,1,36.1395,-6.43593,6.59653,34.9445,2.04291,2.34387,-11,1,49.7915,-8.58713,25.4501,41.9254,1.22808,1.89621,11,-1,12.3665,-1.59166,8.23125,9.09083,0.939774,1.76181,91.287499,37.028764,4.787498
148,200519,1410291,-13,1,11.3804,-1.01033,10.6304,-3.93409,-0.360556,1.66555,13,-1,10.9827,-8.55769,6.26256,-2.85569,-0.266139,2.50984,11,-1,76.4874,22.2058,-50.1705,-53.293,-0.860966,-1.15411,-11,1,14.079,8.97568,10.8127,0.860742,0.061213,0.877964,90.961594,54.146191,8.779979
154,200519,1410333,-13,1,67.413,-42.8412,-16.707,49.2951,0.93139,-2.76976,13,-1,58.4686,45.301,2.22684,36.8976,0.743187,0.049117,11,-1,62.3159,-39.4559,22.1506,-42.8469,-0.843343,2.63004,-11,1,38.955,37.4307,-6.9358,8.26624,0.215474,-0.183219,221.20969,93.938179,90.560864
155,200519,1410335,13,-1,69.9478,-41.8829,-33.8566,-44.6344,-0.754982,-2.46177,-13,1,60.0204,33.7798,17.3903,-46.4644,-1.03059,0.475428,11,-1,80.778,4.71986,29.4136,-75.0843,-1.6548,1.41169,-11,1,59.0998,-17.2844,-0.389141,-56.5145,-1.9002,-3.11908,150.458579,90.862216,35.31668
