Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
5,200519,263144,11,-1,60.5236,29.6604,-30.0577,-43.3578,-0.900166,-0.792052,-11,1,34.3318,-11.3159,12.8238,-29.7687,-1.32122,2.29381,-11,1,16.7208,-15.4038,4.37391,-4.81427,-0.296298,2.86492,11,-1,6.74711,-3.65291,5.66465,0.302441,0.044855,2.14355,88.996716,52.756434,15.916293
6,200519,263209,11,-1,72.5803,5.96289,54.095,48.0217,0.795716,1.46101,11,-1,42.0533,35.7832,-16.5437,14.6408,0.363336,-0.433062,-11,1,40.792,-30.4685,23.4431,-13.6411,-0.347781,2.48578,-11,1,39.1644,-20.2576,-31.6574,11.0132,0.288988,-2.14004,182.53716,71.123631,58.084394
21,200519,263410,11,-1,63.4872,63.4543,0.118353,2.03897,0.032127,0.001865,11,-1,53.9926,-45.1014,29.6431,-1.53145,-0.028372,2.56013,-11,1,29.8738,-29.2193,-4.05807,4.71228,0.159068,-3.00359,-11,1,70.6669,-1.82894,-16.4231,68.7077,2.13231,-1.6817,204.500288,94.491806,29.07396
22,200519,263419,-11,1,41.0386,39.7482,10.1809,0.775983,0.018911,0.250745,11,-1,25.229,-15.6415,15.2959,-12.5651,-0.546697,2.36737,-11,1,21.2761,-13.6721,-4.13665,-15.7682,-0.952962,-2.84779,11,-1,11.3065,-7.65453,-6.17618,-5.5767,-0.54032,-2.46268,91.846743,40.876903,19.394134
24,200519,263442,-11,1,31.6835,-18.6853,19.9715,15.9951,0.55578,2.32294,11,-1,36.15,-2.84013,-23.0733,27.6835,1.01008,-1.69327,-11,1,58.7338,11.5474,-0.7943,57.582,2.30749,-0.068678,11,-1,21.26,9.71459,-1.63249,18.8401,1.40383,-0.166489,86.012196,48.404379,21.767602
26,200519,263453,-11,1,54.6833,8.73717,-28.3587,45.9316,1.22103,-1.27193,11,-1,28.6298,10.6298,19.5174,18.0484,0.742088,1.07208,11,-1,16.1339,-1.97225,15.4934,-4.04584,-0.25623,1.69741,-11,1,17.789,7.88227,9.09608,13.0988,0.942448,0.856769,86.738314,55.221181,4.809257
28,200519,263489,11,-1,81.2719,9.62514,-24.5788,76.8659,1.79025,-1.19755,-11,1,22.7758,-5.25723,17.7741,13.2355,0.664156,1.85838,-11,1,12.1153,-2.91442,11.0729,-3.95961,-0.339272,1.82816,11,-1,7.85208,-7.32606,-1.64089,-2.30031,-0.301797,-2.92125,91.153478,41.113242,15.245375
38,200519,263606,11,-1,57.6118,51.5793,-25.2815,-4.41995,-0.076871,-0.455734,11,-1,66.2455,-24.8324,-28.3591,-54.4754,-1.16396,-2.28999,-11,1,36.4117,-27.8268,20.8395,-10.8258,-0.306573,2.4988,-11,1,36.1326,14.1784,30.9611,12.081,0.34772,1.14136,187.286533,66.128571,58.691722
40,200519,263624,11,-1,52.5794,-14.5951,40.896,29.6495,0.638534,1.91359,11,-1,36.0177,-8.93036,-31.8412,-14.2709,-0.419155,-1.84424,-11,1,43.3273,14.2654,-16.0415,-37.6353,-1.32747,-0.843935,-11,1,9.17726,2.22302,8.11335,3.66795,0.423266,1.30336,139.690184,35.779321,12.200321
45,200519,264056,11,-1,77.5204,-18.251,73.822,-15.0539,-0.196691,1.81317,11,-1,66.1802,18.2856,-48.5268,-41.117,-0.7271,-1.21044,-11,1,31.2327,15.4899,-24.4033,-11.8331,-0.398738,-1.00522,-11,1,28.9844,-26.9555,-5.65918,-9.02595,-0.322103,-2.93465,188.402284,63.825039,15.032502
