Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
3,194533,892418,13,-1,42.7826,-16.0534,27.2111,28.8477,0.818563,2.1038,13,-1,108.56,-22.8483,21.2248,103.984,1.9192,2.39301,-13,1,9.98212,-2.25721,9.41713,2.41955,0.247324,1.80605,-13,1,12.0796,-5.02329,6.52249,-8.83907,-0.932513,2.22707,88.385608,62.885752,11.382842
4,194533,892432,-13,1,95.3136,-15.2963,-41.5677,-84.3968,-1.40052,-1.9234,-13,1,35.3939,7.84913,18.9307,-28.8571,-1.14269,1.17775,13,-1,40.9074,4.54096,19.5478,-35.6465,-1.33885,1.34254,13,-1,16.7726,3.91501,5.12957,-15.4813,-1.6091,0.918886,91.996337,33.621575,5.202372
6,194533,892443,-13,1,44.2356,-28.5251,-0.918602,-33.7973,-1.00583,-3.1094,13,-1,50.9902,25.0072,-11.8556,-42.8261,-1.2208,-0.442703,-13,1,60.2283,-7.45509,11.9602,-58.5561,-2.1316,2.12819,13,-1,18.3191,3.32388,-4.65539,-17.4028,-1.83175,-0.950746,82.627741,31.097668,10.049666
9,194533,892471,-13,1,39.4146,14.8537,-4.45275,-36.2359,-1.58485,-0.29125,-13,1,23.5766,-9.59187,0.970044,-21.5151,-1.54269,3.0408,13,-1,34.6281,-4.89967,3.38582,-34.112,-2.44598,2.53691,13,-1,20.3185,-5.20682,-2.28222,-19.5067,-1.94666,-2.7285,38.431546,20.815219,4.823764
10,194533,892477,13,-1,27.1914,21.0368,-15.627,7.25352,0.273372,-0.638904,-13,1,21.7713,-6.32882,20.5427,-3.45301,-0.159956,1.86965,-13,1,11.6454,8.22033,8.06078,-1.74763,-0.151219,0.775599,13,-1,46.1054,-5.40663,-6.75494,45.2862,2.35734,-2.24578,93.813996,43.205848,16.367416
21,194533,892554,-13,1,183.181,-122.675,70.3035,-116.462,-0.751055,2.6212,-13,1,56.722,56.3233,-6.16105,-2.66384,-0.046998,-0.108954,13,-1,46.8461,-22.3537,25.6543,32.198,0.842851,2.28755,13,-1,43.6636,-28.9662,6.04772,-32.1073,-0.940249,2.93576,268.273032,91.214934,23.686986
24,194533,892579,13,-1,75.2687,13.8227,7.29733,-73.6277,-2.25401,0.485735,-13,1,18.9069,-14.1856,3.00166,12.1333,0.761148,2.93307,-13,1,16.6923,12.6181,-4.76872,-9.83182,-0.676155,-0.361333,13,-1,7.70829,-6.49609,-0.035221,-4.14802,-0.601583,-3.13617,91.107568,28.032557,14.424686
26,194533,892610,13,-1,180.356,34.1363,32.9901,173.996,2.01014,0.768326,13,-1,30.7412,17.6057,-20.5927,14.5255,0.513298,-0.863437,-13,1,38.8616,6.83676,9.50764,37.055,1.86914,0.947379,-13,1,16.2891,6.59665,1.92786,14.768,1.50828,0.28433,91.140685,20.484384,5.383493
28,194533,892621,-13,1,59.6965,-38.1449,-45.182,8.19798,0.138201,-2.27194,13,-1,59.6046,55.0026,7.15102,-21.8237,-0.38396,0.129287,13,-1,44.6564,-7.60891,43.1026,8.85718,0.201005,1.74553,-13,1,29.6225,-25.9309,1.82943,14.2028,0.522288,3.07116,192.505309,77.010631,38.612632
34,194533,892655,13,-1,73.9051,30.4297,36.8012,56.4061,1.00389,0.879886,-13,1,80.8836,20.5346,36.1931,69.358,1.28384,1.05472,-13,1,61.8287,15.4864,11.2199,58.7968,1.84177,0.62698,13,-1,10.9906,5.18503,4.72155,-8.46194,-1.02023,0.738647,88.052896,43.773161,19.940983
38,194533,892687,-13,1,97.265,48.686,60.7743,-58.2806,-0.691889,0.895389,13,-1,65.0873,-4.72071,64.6832,5.49021,0.084552,1.64365,13,-1,28.2905,-21.9613,-14.8105,-9.93427,-0.36676,-2.54826,-13,1,34.0706,-10.691,-24.1253,-21.5515,-0.745666,-1.98793,189.155102,89.93946,74.165005
43,194533,892700,13,-1,92.5247,-18.0816,-25.82,-86.9896,-1.73958,-2.18172,-13,1,114.519,21.6522,22.8212,-110.114,-1.96581,0.811676,13,-1,9.39159,-8.8866,2.29706,1.98564,0.214679,2.88864,-13,1,9.34956,-7.44762,4.22121,-3.75733,-0.42591,2.62595,106.076015,53.555621,32.017351
46,194533,893004,-13,1,68.1439,-58.8995,32.5051,-10.8559,-0.160677,2.63731,13,-1,75.3431,46.8694,-39.2187,-44.065,-0.669815,-0.696761,-13,1,203.015,19.2457,-31.1991,-199.678,-2.39655,-1.01807,13,-1,52.1191,25.2759,13.2071,-43.6243,-1.21112,0.481499,261.334345,166.21822,51.7267
47,194533,893013,13,-1,177.035,-44.7394,27.6039,169.05,1.88454,2.58877,-13,1,87.7262,26.8955,-28.5899,78.4546,1.44306,-0.815926,13,-1,24.7766,-2.79692,8.94447,22.9357,1.6275,1.87386,-13,1,35.9745,2.79317,6.2795,35.3117,2.33915,1.15227,109.328466,31.303691,16.550765
51,194533,893037,13,-1,27.1152,26.2049,-6.48708,-2.53862,-0.093899,-0.242674,13,-1,16.9134,-11.5478,12.2728,1.4416,0.085443,2.32577,-13,1,50.1743,-9.84,0.225538,-49.1993,-2.31217,3.11868,-13,1,24.8251,4.21522,2.69682,-24.3153,-2.28442,0.569158,91.887744,54.679407,30.676375
52,194533,893040,-13,1,238.285,88.633,-48.8319,215.73,1.50108,-0.503569,-13,1,147.355,-53.0653,58.9337,124.195,1.23086,2.30385,13,-1,184.045,-30.7421,-17.3746,180.625,2.33476,-2.62718,13,-1,66.4961,-16.8255,7.58727,63.8831,1.955,2.71796,251.038338,116.321477,32.390707
54,194533,893045,13,-1,72.6001,49.6304,37.5373,-37.397,-0.56966,0.647545,-13,1,92.3741,11.6379,-34.323,-84.9674,-1.58785,-1.24389,-13,1,54.9128,-2.97743,-14.5315,-52.8713,-1.98325,-1.77289,13,-1,45.341,8.08583,-9.13299,-43.6693,-1.98748,-0.846138,132.674098,73.521475,11.85747
60,194533,893110,13,-1,161.355,30.7112,-18.6948,157.298,2.18187,-0.546813,-13,1,103.327,-20.1694,29.1296,97.0625,1.73268,2.1764,-13,1,49.0326,-9.02496,-6.3375,47.7763,2.17231,-2.52938,13,-1,12.8546,2.17266,5.23464,11.5372,1.45946,1.17738,90.307068,33.325136,14.123941
61,194533,893112,13,-1,126.248,47.4213,-32.1935,-112.487,-1.42676,-0.596412,-13,1,27.4231,-19.4269,16.929,-9.38164,-0.356481,2.42479,13,-1,51.5009,-11.0291,12.9012,-48.6236,-1.77479,2.27812,-13,1,10.367,-9.21088,-3.51913,-3.19983,-0.319076,-2.77664,127.253257,62.781056,16.427149
63,194533,893132,13,-1,83.987,-3.95344,78.1658,-30.4678,-0.38007,1.62133,-13,1,86.5648,-15.4612,-63.3595,56.9208,0.788489,-1.81014,-13,1,47.6436,42.1537,-8.92995,-20.328,-0.455817,-0.208757,13,-1,37.0112,-11.6877,-11.7262,-33.1015,-1.44334,-2.35455,253.468585,103.607951,77.075565
64,194533,893133,-13,1,65.4302,4.90097,-46.6563,-45.61,-0.861597,-1.46614,13,-1,29.2722,-3.75789,23.4733,-17.0802,-0.667752,1.72954,13,-1,32.1266,8.5799,-4.019,-30.6976,-1.89173,-0.438066,-13,1,7.97673,-4.14271,6.34544,-2.48805,-0.322694,2.14918,92.272806,30.736941,7.279399
65,194533,893140,-13,1,453.747,-71.1722,46.7801,-445.682,-2.35712,2.56012,13,-1,116.927,43.0126,-49.3479,-96.8841,-1.18362,-0.853885,13,-1,216.157,19.1833,58.9782,-207.069,-1.92046,1.25633,-13,1,45.1428,21.7902,-36.5372,15.1022,0.347936,-1.03304,389.977798,93.807449,89.457742
66,194533,893159,-13,1,98.8764,19.2733,-54.3216,-80.3383,-1.13438,-1.22985,-13,1,162.401,10.1085,51.9891,-153.522,-1.78591,1.37876,13,-1,93.4407,-35.8372,-25.2546,-82.517,-1.38966,-2.52772,13,-1,35.583,0.165267,32.9373,-13.4628,-0.398134,1.56578,208.50004,63.211527,62.107035
68,194533,893181,-13,1,45.0164,-30.5173,-30.3351,13.2266,0.302739,-2.35919,-13,1,41.7771,-20.7531,-24.4309,26.7909,0.760351,-2.27498,13,-1,28.4691,20.7289,7.98278,17.8063,0.733933,0.367599,13,-1,11.0243,-5.86265,-8.65172,3.50719,0.329585,-2.16635,88.253023,51.721148,4.131275
74,194533,893231,-13,1,67.7378,-3.54139,30.3349,60.462,1.43452,1.68701,13,-1,24.3728,-3.88904,-23.5386,-4.98311,-0.207378,-1.73454,-13,1,17.6676,3.27113,-8.23963,15.2821,1.31284,-1.19288,13,-1,9.03721,7.13898,2.84891,4.7517,0.584362,0.3797,91.673776,25.516432,22.966663
78,194533,893256,-13,1,101.591,67.4969,-27.0909,-70.9291,-0.86375,-0.381682,-13,1,56.6496,-54.6876,-3.63634,14.3252,0.25848,-3.0752,13,-1,24.1967,-22.9684,5.63017,5.12094,0.214888,2.90121,13,-1,49.6761,9.33919,13.4815,-46.8906,-1.77293,0.964959,209.913505,53.956032,11.114952
79,194533,893262,-13,1,64.7105,45.4511,44.6146,-11.453,-0.178872,0.77611,13,-1,56.6917,-44.6053,26.0715,23.3362,0.437578,2.61265,-13,1,37.674,27.4421,-25.7798,-1.28407,-0.034097,-0.754175,13,-1,32.6929,-18.1702,-27.1167,1.8285,0.055988,-2.16115,190.268505,68.206925,58.433627
